"API","API10","oper_alias","form_avg","Status","PerfLL","FirstProd","Oil_PkNorm_Perk_6mo"
"42383000230100","4238300023","PIONEER","SPBY_L_SILT","PRODUCING",1391,1/1/1970,2740
"42383000240100","4238300024","PIONEER","SPBY_JO_MILL","PRODUCING",1601,1/1/1970,1075
"42383000310100","4238300031","PIONEER","SPBY_L_SILT","PRODUCING",1558,1/1/1970,1557
"42383010910100","4238301091","PIONEER","SPBY_JO_MILL","PRODUCING",null,1/1/1970,null
"42383013070200","4238301307","PIONEER","SPBY_L_SILT","PRODUCING",1183,2/1/1978,1701
"42383015670100","4238301567","GAGE","STRAWN+","PRODUCING",null,1/1/1958,null
"42383339760100","4238333976","APACHE","WFMP_D","PRODUCING",1174,4/1/1990,1709
"42383346390000","4238334639","PIONEER","SPBY_JO_MILL","PRODUCING",928,12/1/2007,4098
"42383347080100","4238334708","ROVER","STRAWN+","PRODUCING",604,3/1/1997,42065
"42383347690200","4238334769","PIONEER","SPBY_JO_MILL","PRODUCING",1884,8/1/1997,3622
"42383351250000","4238335125","GAGE","STRAWN+","PRODUCING",3101,10/1/2001,1455
"42383351710100","4238335171","APACHE","STRAWN+","PRODUCING",2562,9/1/2001,212
"42383364850000","4238336485","LAREDO","WFMP_A","PRODUCING",3280,8/1/2009,5511
"42383369580000","4238336958","LAREDO","WFMP_A","PRODUCING",5670,1/1/2011,5929
"42383370750000","4238337075","EP","WFMP_B","PRODUCING",4212,4/1/2011,5128
"42383371370000","4238337137","EP","WFMP_B","PRODUCING",6786,8/1/2011,1426
"42383371390000","4238337139","SEM","WFMP_B","PRODUCING",5330,5/1/2011,5716
"42383372830000","4238337283","EP","WFMP_B","PRODUCING",3966,12/1/2011,4269
"42383373160000","4238337316","EP","WFMP_B","PRODUCING",7072,10/1/2011,4285
"42383373560000","4238337356","SEM","WFMP_A","PRODUCING",6930,10/1/2011,7579
"42383373580000","4238337358","EP","WFMP_A","PRODUCING",6786,11/1/2011,5211
"42383373930100","4238337393","FDL","WFMP_B_LOWER","PRODUCING",6528,1/1/2012,3773
"42383374060000","4238337406","EP","WFMP_B","PRODUCING",6948,2/1/2012,1467
"42383374250000","4238337425","SEM","WFMP_B","PRODUCING",7432,11/1/2011,5897
"42383374510300","4238337451","PT","WFMP_A","PRODUCING",4926,12/1/2012,3049
"42383374890000","4238337489","SEM","WFMP_A","PRODUCING",7460,9/1/2013,4845
"42383374990000","4238337499","LAREDO","WFMP_A","PRODUCING",5972,1/1/2012,10082
"42383375030000","4238337503","EP","WFMP_B_LOWER","PRODUCING",2906,2/1/2012,6959
"42383375550100","4238337555","PIONEER","WFMP_A","PRODUCING",6062,8/1/2012,4310
"42383375610000","4238337561","PIONEER","WFMP_B","PRODUCING",6422,5/1/2012,4463
"42383375630000","4238337563","PIONEER","WFMP_B","PRODUCING",6422,6/1/2012,4936
"42383375640000","4238337564","PIONEER","WFMP_B","PRODUCING",6577,6/1/2012,6629
"42383375650000","4238337565","PIONEER","WFMP_B","PRODUCING",6362,9/1/2012,6193
"42383375670000","4238337567","EP","WFMP_B","PRODUCING",7307,4/1/2012,1408
"42383375790100","4238337579","EP","WFMP_B","PRODUCING",6740,5/1/2012,697
"42383375810000","4238337581","EP","WFMP_B","PRODUCING",6321,3/1/2012,1431
"42383375850000","4238337585","LAREDO","WFMP_A","PRODUCING",3698,4/1/2012,20311
"42383375930001","4238337593","LAREDO","UNKNOWN","PRODUCING",3937,3/1/2012,14141
"42383375940100","4238337594","SEM","WFMP_B","PRODUCING",7690,9/1/2012,4291
"42383376270000","4238337627","LAREDO","WFMP_A","PRODUCING",3693,4/1/2012,7875
"42383376430000","4238337643","SEM","WFMP_B","PRODUCING",7699,9/1/2012,5976
"42383376580000","4238337658","PIONEER","WFMP_A","PRODUCING",7005,1/1/2013,3835
"42383376590000","4238337659","PIONEER","WFMP_A","PRODUCING",6902,9/1/2012,3801
"42383376600000","4238337660","PIONEER","WFMP_B","PRODUCING",7240,2/1/2013,4367
"42383376610000","4238337661","PIONEER","WFMP_B","PRODUCING",6612,8/1/2012,4329
"42383376620000","4238337662","PIONEER","WFMP_B","PRODUCING",6422,8/1/2012,5528
"42383376630000","4238337663","PIONEER","WFMP_B","PRODUCING",7070,4/1/2013,5272
"42383376640000","4238337664","PIONEER","WFMP_B_LOWER","PRODUCING",6911,1/1/2013,4946
"42383376720000","4238337672","SABLE","WFMP_B","PRODUCING",7871,10/1/2012,4514
"42383376810000","4238337681","SABLE","WFMP_B","PRODUCING",7731,9/1/2012,3757
"42383376890000","4238337689","PIONEER","WFMP_B_LOWER","PRODUCING",6720,12/1/2012,6429
"42383376900000","4238337690","PIONEER","WFMP_A","PRODUCING",6422,9/1/2012,2221
"42383376930000","4238337693","PIONEER","WFMP_B","PRODUCING",7380,3/1/2013,7362
"42383376940000","4238337694","PIONEER","WFMP_B","PRODUCING",7142,11/1/2012,5536
"42383377040000","4238337704","SABLE","WFMP_B","PRODUCING",8781,11/1/2012,3617
"42383377080000","4238337708","SABLE","WFMP_A","PRODUCING",6616,4/1/2015,10684
"42383377190000","4238337719","LAREDO","WFMP_A","PRODUCING",7470,7/1/2012,5791
"42383377200000","4238337720","SABLE","WFMP_A","PRODUCING",7666,6/1/2013,7133
"42383377230000","4238337723","LAREDO","WFMP_A","PRODUCING",6938,7/1/2012,5358
"42383377270000","4238337727","SABLE","WFMP_B","PRODUCING",7836,12/1/2012,3800
"42383377280000","4238337728","PIONEER","WFMP_B","PRODUCING",6535,12/1/2012,3992
"42383377290000","4238337729","PIONEER","WFMP_A","PRODUCING",7082,7/1/2013,2199
"42383377320000","4238337732","PIONEER","WFMP_B","PRODUCING",9612,1/1/2013,7121
"42383377460000","4238337746","EP","WFMP_B","PRODUCING",6971,11/1/2012,3843
"42383377540000","4238337754","SEM","WFMP_B","PRODUCING",7770,12/1/2012,4063
"42383377550000","4238337755","SEM","WFMP_B","PRODUCING",7735,7/1/2012,4394
"42383377560000","4238337756","SEM","WFMP_B","PRODUCING",7828,12/1/2012,4210
"42383377580000","4238337758","LAREDO","WFMP_D","PRODUCING",6968,7/1/2012,5337
"42383377590000","4238337759","SABLE","WFMP_A","PRODUCING",7869,5/1/2013,4353
"42383377610000","4238337761","PIONEER","WFMP_B","PRODUCING",7022,5/1/2013,2613
"42383377630000","4238337763","LAREDO","WFMP_B","PRODUCING",6933,8/1/2012,8613
"42383377670000","4238337767","SABLE","WFMP_B","PRODUCING",7662,2/1/2013,7012
"42383377770000","4238337777","LAREDO","WFMP_A","PRODUCING",7021,8/1/2012,6134
"42383377950000","4238337795","PIONEER","WFMP_A","PRODUCING",7005,1/1/2013,2548
"42383377980000","4238337798","PIONEER","WFMP_B","PRODUCING",9860,3/1/2013,6185
"42383378000000","4238337800","SABLE","WFMP_A","PRODUCING",5578,11/1/2014,3699
"42383378010000","4238337801","SABLE","WFMP_B","PRODUCING",10494,8/1/2013,3642
"42383378020000","4238337802","SABLE","WFMP_A","PRODUCING",7730,1/1/2014,3061
"42383378050000","4238337805","PIONEER","WFMP_B","PRODUCING",7380,7/1/2013,4072
"42383378060000","4238337806","PIONEER","WFMP_B","PRODUCING",7142,5/1/2013,5417
"42383378070000","4238337807","PIONEER","WFMP_B","PRODUCING",7382,11/1/2013,2010
"42383378080000","4238337808","PIONEER","WFMP_B","PRODUCING",6450,5/1/2013,5529
"42383378120000","4238337812","SABLE","WFMP_B","PRODUCING",6121,4/1/2013,2537
"42383378180000","4238337818","FDL","WFMP_B","PRODUCING",7562,4/1/2014,3635
"42383378200000","4238337820","SABLE","WFMP_B","PRODUCING",5780,12/1/2012,7539
"42383378260000","4238337826","SABLE","WFMP_B_LOWER","PRODUCING",6758,11/1/2013,15746
"42383378280000","4238337828","SEM","WFMP_A","PRODUCING",7250,12/1/2012,4249
"42383378330000","4238337833","PIONEER","WFMP_B","PRODUCING",7442,7/1/2013,2102
"42383378510000","4238337851","PT","WFMP_B","PRODUCING",4973,11/1/2012,1805
"42383378560000","4238337856","LAREDO","WFMP_A","PRODUCING",6648,9/1/2012,8595
"42383378700000","4238337870","FDL","WFMP_A","PRODUCING",7607,9/1/2012,4151
"42383378730000","4238337873","PT","WFMP_B","PRODUCING",4874,10/1/2012,2728
"42383378740000","4238337874","PIONEER","WFMP_B","PRODUCING",7382,6/1/2013,6616
