"pKey","JobStartDate","JobEndDate","APINumber","StateNumber","CountyNumber","OperatorName","WellName","Latitude","Longitude","Projection","TVD","TotalBaseWaterVolume","TotalBaseNonWaterVolume","StateName","CountyName","FFVersion","FederalWell","IndianWell","Source","DTMOD","pKeyPurpose","IngredientName","CASNumber","PercentHighAdditive","PercentHFJob","IngredientComment","IngredientMSDS","MassIngredient","ClaimantCompany","pKeyDisclosure","pKeyRegistryUpload","TradeName","Supplier","Purpose","SystemApproach","IsWater"
"9b047ad5-d2cb-4279-8f94-7cf01f7cfabe",1/24/2018 12:00:00 AM,2/5/2018 12:00:00 AM,"42255355450000","42","255","Marathon Oil ","Hollman 10H",28.787,-97.98,"NAD27",12491.0,8440270.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.003,0.001,null,false,0.0,null,"9b047ad5-d2cb-4279-8f94-7cf01f7cfabe",null,null,null,null,null,null
"f962d3d0-3d2e-4075-bd3b-c45fcddd9027",1/25/2018 12:00:00 AM,2/4/2018 12:00:00 AM,"42013354430000","42","013","Marathon Oil ","May Chapman 7H",28.702,-98.234,"NAD27",11227.0,7957342.0,0.0,"Texas","Atascosa",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.002,0.0,null,false,0.0,null,"f962d3d0-3d2e-4075-bd3b-c45fcddd9027",null,null,null,null,null,null
"cbba26d8-e593-4b6b-82bd-915795d6cac7",10/7/2017 6:00:00 AM,10/13/2017 6:00:00 AM,"42255325140000","42","255","Encana Oil & Gas (USA) Inc.","Kosub Unit 3H",28.836,-97.896,"NAD27",12711.0,6275483.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.057,0.005,null,false,0.0,null,"cbba26d8-e593-4b6b-82bd-915795d6cac7",null,null,null,null,null,null
"b454ceb9-44dc-407a-8a0f-ca50d5730d0e",2/8/2018 6:00:00 AM,2/20/2018 6:00:00 AM,"42405306130000","42","405","XTO Energy/ExxonMobil","BSI Hokies H1",31.375,-94.246,"NAD83",14634.0,22710217.0,0.0,"Texas","San Augustine",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.045,0.003,null,false,0.0,null,"b454ceb9-44dc-407a-8a0f-ca50d5730d0e",null,null,null,null,null,null
"4675dade-be92-4cac-93d1-7f731eba00ec",1/24/2018 12:00:00 AM,2/5/2018 12:00:00 AM,"42255355440000","42","255","Marathon Oil ","Hollman 9H",28.787,-97.98,"NAD27",12438.0,7624909.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.003,0.001,null,false,0.0,null,"4675dade-be92-4cac-93d1-7f731eba00ec",null,null,null,null,null,null
"4a3f603f-9578-4230-a800-9a96dfe66de3",2/7/2018 12:00:00 AM,2/14/2018 12:00:00 AM,"42255356250000","42","255","Marathon Oil ","May B 18H",28.777,-97.951,"NAD27",12652.0,6979283.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.0,0.0,null,false,0.0,null,"4a3f603f-9578-4230-a800-9a96dfe66de3",null,null,null,null,null,null
"6241e37e-8b6f-452e-8f1e-7ff40d3e6361",2/7/2018 12:00:00 AM,2/14/2018 12:00:00 AM,"42255356280000","42","255","Marathon Oil ","May B 25H",28.778,-97.95,"NAD27",12616.0,7084570.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.001,0.0,null,false,0.0,null,"6241e37e-8b6f-452e-8f1e-7ff40d3e6361",null,null,null,null,null,null
"5aed486c-c8f6-41c4-91b0-b2cd9a237896",2/24/2018 12:00:00 AM,3/2/2018 12:00:00 AM,"42297358830000","42","297","Marathon Oil ","Guajillo West 15H",28.636,-98.297,"NAD27",11277.0,5206698.0,0.0,"Texas","Live Oak",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.006,0.001,null,false,0.0,null,"5aed486c-c8f6-41c4-91b0-b2cd9a237896",null,null,null,null,null,null
"84023e5b-7be9-4c44-affb-10a17338662c",3/22/2018 12:00:00 AM,4/2/2018 12:00:00 AM,"42255356220000","42","255","Marathon Oil ","Coy City Ranch B 6H",28.812,-98.037,"NAD27",11458.0,12761087.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.009,0.001,null,false,0.0,null,"84023e5b-7be9-4c44-affb-10a17338662c",null,null,null,null,null,null
"49a263f1-c68b-4157-92da-27b6ccf30862",3/11/2018 12:00:00 AM,3/22/2018 12:00:00 AM,"42255356240000","42","255","Marathon Oil ","Coy City Ranch B 8H",28.812,-98.037,"NAD27",11430.0,12399351.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.009,0.001,null,false,0.0,null,"49a263f1-c68b-4157-92da-27b6ccf30862",null,null,null,null,null,null
"c3e96d3a-340c-4fd5-9f1b-1468d8f34be9",4/3/2018 12:00:00 AM,4/17/2018 12:00:00 AM,"42255356740000","42","255","Marathon Oil ","Turnbull BC 8H",28.763,-98.043,"NAD27",11816.0,9811055.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.005,0.001,null,false,0.0,null,"c3e96d3a-340c-4fd5-9f1b-1468d8f34be9",null,null,null,null,null,null
"6f54ea42-cfa3-4047-bbfc-46081d316dc1",4/3/2018 12:00:00 AM,4/17/2018 12:00:00 AM,"42255356750000","42","255","Marathon Oil ","Turnbull BC 9H",28.763,-98.043,"NAD27",11769.0,7935508.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.006,0.001,null,false,0.0,null,"6f54ea42-cfa3-4047-bbfc-46081d316dc1",null,null,null,null,null,null
"3ea6da1c-bef0-48f9-b319-3fc7702af722",4/17/2018 12:00:00 AM,4/29/2018 12:00:00 AM,"42255356760000","42","255","Marathon Oil ","Turnbull BC 10H",28.763,-98.043,"NAD27",11750.0,6943081.0,0.0,"Texas","Karnes",3.0,false,false,null,null,null,"[[(phosphonomethyl)imino]bis[(ethylenenitrilo)bis(methylene)]]tetrakisphosphonic acid, sodium salt","22042-96-2",0.005,0.001,null,false,0.0,null,"3ea6da1c-bef0-48f9-b319-3fc7702af722",null,null,null,null,null,null
